,code,allergen
551613,2220251241818,en:soybeans
963658,3700157570032,en:eggs
963658,3700157570032,en:gluten
963658,3700157570032,en:milk
712981,3229820788029,en:eggs
712981,3229820788029,en:gluten
712981,3229820788029,en:milk
712981,3229820788029,en:soybeans
664656,3045320059045,en:eggs
664656,3045320059045,en:gluten
664656,3045320059045,en:milk
841774,3387270120704,en:milk
988948,3760022780096,en:milk
850908,3413160001874,en:milk
1173825,4316268391849,en:eggs
290689,0207004019094,en:gluten
290689,0207004019094,en:milk
1813691,9000332811405,en:gluten
1813691,9000332811405,en:milk
1813691,9000332811405,en:soybeans
311385,0247076043290,en:milk
1819767,9018969000000,en:milk
849841,3410280023755,en:gluten
849841,3410280023755,en:milk
1205309,5000159487931,en:milk
1205309,5000159487931,en:peanuts
1205309,5000159487931,en:soybeans
964584,3700212555158,en:crustaceans
964584,3700212555158,en:eggs
964584,3700212555158,en:fish
964584,3700212555158,en:gluten
964584,3700212555158,en:milk
964584,3700212555158,en:molluscs
964584,3700212555158,en:soybeans
849963,3410280059280,en:gluten
849963,3410280059280,en:milk
849896,3410280035468,en:fish
849896,3410280035468,en:gluten
849896,3410280035468,en:molluscs
963668,3700157572449,en:eggs
963668,3700157572449,en:gluten
963668,3700157572449,en:milk
1568114,8034135890337,en:eggs
1568114,8034135890337,en:gluten
677852,3104100000001,en:milk
677852,3104100000001,en:nuts
677852,3104100000001,en:soybeans
849935,3410280053028,en:mustard
849935,3410280053028,en:sulphur-dioxide-and-sulphites
678361,3104710011954,en:sulphur-dioxide-and-sulphites
657793,3033124706203,en:celery
657793,3033124706203,en:eggs
657793,3033124706203,en:gluten
657793,3033124706203,en:milk
657793,3033124706203,en:nuts
1170056,4311501403006,en:gluten
1170056,4311501403006,en:milk
582165,2360226001686,en:milk
1148094,4104420132306,en:eggs
1148094,4104420132306,en:gluten
1148094,4104420132306,en:lupin
1148094,4104420132306,en:milk
845815,3396410035624,en:milk
679113,3107871000133,en:sulphur-dioxide-and-sulphites
1174360,4316268469722,en:milk
1174360,4316268469722,de:milchsäurebakteriekulturen
660788,3036811521950,en:crustaceans
660788,3036811521950,en:milk
574670,23170230,en:eggs
574670,23170230,en:gluten
665303,3046920012775,en:gluten
665303,3046920012775,en:milk
665303,3046920012775,en:soybeans
843424,3390955060028,en:milk
665283,3046920010993,en:milk
665283,3046920010993,en:soybeans
1441928,7622300749750,en:milk
1441928,7622300749750,en:nuts
1441928,7622300749750,en:soybeans
506779,20118358,en:eggs
506779,20118358,en:gluten
506779,20118358,en:milk
506779,20118358,en:mustard
1173859,4316268400886,en:eggs
1173859,4316268400886,en:gluten
1173859,4316268400886,en:milk
850910,3413160001898,en:milk
661353,3038353020304,en:gluten
1173389,4313712093014,en:celery
1173392,4313712093069,en:celery
1182338,4388844014183,en:eggs
1182338,4388844014183,en:gluten
1182338,4388844014183,en:milk
695143,3178530409611,en:eggs
695143,3178530409611,en:gluten
695143,3178530409611,en:milk
695143,3178530409611,en:nuts
695143,3178530409611,en:soybeans
1241994,5055953901275,fr:orange
284562,0203006007220,en:gluten
713100,3229820791920,en:eggs
713100,3229820791920,en:gluten
713100,3229820791920,en:oats
550197,22147172,en:milk
550197,22147172,en:nuts
550197,22147172,en:soybeans
1186148,44609957,en:milk
681761,3116740032960,en:milk
681761,3116740032960,en:soybeans
1067058,4000161620112,en:soybeans
678377,3104713319682,en:mustard
678377,3104713319682,de:kaliummetabisulfit
1376755,7000816026686,en:milk
1376755,7000816026686,en:soybeans
1376755,7000816026686,de:eierlikör
523637,20637552,en:eggs
523637,20637552,en:gluten
523637,20637552,en:milk
552216,22228659,en:sesame-seeds
552217,22228666,en:milk
665206,3046920007443,en:gluten
665206,3046920007443,en:milk
665206,3046920007443,en:nuts
665206,3046920007443,en:soybeans
281103,0201467123121,en:fish
1174080,4316268443777,en:milk
634659,2824442002013,en:mustard
660107,3033710082209,en:celery
1204851,5000159309332,en:gluten
1204851,5000159309332,en:milk
1204851,5000159309332,en:soybeans
503839,20066778,en:eggs
503839,20066778,en:milk
1810469,8934563152147,en:gluten
1810469,8934563152147,en:milk
1810469,8934563152147,en:sesame-seeds
1810469,8934563152147,en:soybeans
1444707,7640101096576,en:milk
1172830,4311596426249,en:milk
1172829,4311596426201,en:milk
1172395,43115075,en:milk
841966,3387390386172,en:gluten
694149,3176580109697,en:milk
1382596,7291647867788,en:gluten
1382596,7291647867788,en:milk
1382596,7291647867788,en:oats
1382596,7291647867788,en:soybeans
665440,3046920027878,en:milk
665440,3046920027878,en:nuts
665440,3046920027878,en:soybeans
1259518,5099466177024,en:milk
1259518,5099466177024,en:soybeans
842343,3389090001393,en:celery
842343,3389090001393,en:crustaceans
842343,3389090001393,en:milk
842343,3389090001393,en:sulphur-dioxide-and-sulphites
1068538,4000417650207,en:milk
1068538,4000417650207,en:nuts
1068538,4000417650207,en:soybeans
1174363,4316268469821,en:milk
1174363,4316268469821,en:soybeans
1174363,4316268469821,de:macadamianusskerne
1173983,4316268424813,en:eggs
1173983,4316268424813,en:gluten
1173983,4316268424813,en:milk
1173983,4316268424813,en:soybeans
1173983,4316268424813,de:hühnereipulver
537277,21284588,en:milk
537277,21284588,en:nuts
537277,21284588,en:soybeans
1173932,4316268415699,en:milk
1182049,4388840219377,en:milk
521066,20531973,en:eggs
521066,20531973,en:milk
311980,0250081017514,en:gluten
713641,3230140002733,en:mustard
713641,3230140002733,fr:disulfite de potassium
506011,20101404,en:milk
540941,2165115002689,en:milk
604989,25358209,en:milk
1810470,8934563155148,en:celery
1810470,8934563155148,en:gluten
1810470,8934563155148,en:milk
1810470,8934563155148,en:soybeans
1170408,4311501453100,en:milk
1174366,4316268470087,en:gluten
1174366,4316268470087,en:mustard
1174366,4316268470087,de:hühnereivolleipulver
1174408,4316268475143,en:milk
661612,3038359002335,en:gluten
661612,3038359002335,en:milk
692354,3175241303047,en:milk
1384703,7311310501891,en:milk
850017,3410280106182,en:milk
1173953,4316268421379,en:milk
1173953,4316268421379,en:peanuts
644480,2918677291831,en:gluten
644480,2918677291831,en:soybeans
508502,20168353,en:gluten
508502,20168353,en:milk
